id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7736395BAEcobici,951,2020-05-18 07:42:39 UTC,174BAEcobici,174 - MINISTERIO DE EDUCACION,Marcelo T. de Alvear & Rodriguez Peña,-58.391768,-34.597225,2020-05-18 07:58:30 UTC,347BAEcobici,230 - Parque Las Heras II,3120 Pacheco de Melo,-58.4065391,-34.5834356,19432BAEcobici,ICONIC
7736258BAEcobici,1070,2020-05-18 05:13:26 UTC,73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718235,-34.6306814,2020-05-18 05:31:16 UTC,424BAEcobici,387 - Luna,201 Luna,-58.39965,-34.638584,553065BAEcobici,ICONIC
7737145BAEcobici,1421,2020-05-18 13:59:40 UTC,21BAEcobici,021 - Parque Patricios,Iguazu & Uspallata,-58.406432,-34.640111,2020-05-18 14:23:21 UTC,73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718235,-34.6306814,553065BAEcobici,ICONIC
7737484BAEcobici,2837,2020-05-18 16:05:57 UTC,184BAEcobici,184 - Pedro Echague,Pedro Echague 1878 & Combate De Los Pozos,-58.3913419,-34.6306129,2020-05-18 16:53:14 UTC,371BAEcobici,269 - Plaza De La Misericordia,493 Lautaro,-58.455058,-34.63281,270924BAEcobici,ICONIC
7736520BAEcobici,662,2020-05-18 08:40:34 UTC,73BAEcobici,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718235,-34.6306814,2020-05-18 08:51:36 UTC,47BAEcobici,047 - Colegio Nacional de Buenos Aires,306 Bolivar & Moreno,-58.3733149,-34.6117408,582829BAEcobici,ICONIC
7736575BAEcobici,1681,2020-05-18 09:06:46 UTC,204BAEcobici,167 - Hipólito Yrigoyen,"4300 Yrigoyen, Hipolito Av.",-58.427818,-34.614948,2020-05-18 09:34:47 UTC,8BAEcobici,008 - Congreso,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893364,-34.6094218,104132BAEcobici,ICONIC
7736276BAEcobici,1251,2020-05-18 05:53:49 UTC,376BAEcobici,324 - Las Victorias,"4083 Vallese, Felipe",-58.487078,-34.626778,2020-05-18 06:14:40 UTC,29BAEcobici,029 - Parque Centenario,Av. Patricias Argentinas & Estivao,-58.4335573,-34.6079414,665794BAEcobici,ICONIC
7736757BAEcobici,429,2020-05-18 10:48:35 UTC,33BAEcobici,033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,-58.3989807,-34.5970909,2020-05-18 10:55:44 UTC,166BAEcobici,166 - Cementerio de Recoleta,Vicente López 2100,-58.394147942865644,-34.588346663239754,529369BAEcobici,ICONIC
7737440BAEcobici,1743,2020-05-18 15:51:32 UTC,166BAEcobici,166 - Cementerio de Recoleta,Vicente López 2100,-58.394147942865644,-34.588346663239754,2020-05-18 16:20:35 UTC,134BAEcobici,134 - SOLDADO DE LA FRONTERA,Soldado de la Frontera 4999,-58.4659,-34.68294,529369BAEcobici,ICONIC
7736436BAEcobici,1706,2020-05-18 08:00:51 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,2020-05-18 08:29:17 UTC,31BAEcobici,031 - Padilla,"Padilla & Alvarez, Julian",-58.4396457,-34.6032081,665802BAEcobici,ICONIC
